Jumlah,tanggal
1,14-08-2023
1,24-06-2022
2,14-08-2023
1,29-08-2023
1,25-12-2022
1,06-09-2022
1,07-06-2023
2,19-02-2021
1,28-09-2021
1,06-09-2022
1,09-09-2021
1,20-07-2023
1,06-09-2022
1,17-05-2022
2,11-08-2022
3,09-05-2023
1,21-08-2022
2,21-10-2022
1,10-03-2022
1,29-08-2023
1,17-11-2020
2,11-01-2020
3,09-08-2020
1,27-09-2021
1,26-04-2021
1,09-01-2023
2,23-08-2023
1,28-01-2020
1,28-01-2020
1,29-01-2022
1,14-03-2023
5,14-02-2021
1,09-05-2023
1,01-09-2021
2,08-06-2022
1,27-09-2023
1,04-03-2020
1,21-03-2022
2,20-05-2023
1,25-05-2022
1,23-07-2023
1,14-08-2023
1,24-06-2022
1,01-11-2022
2,24-10-2023
1,24-06-2022
1,18-07-2020
1,10-11-2022
1,11-02-2020
1,24-06-2022
1,24-06-2022
1,14-03-2023
1,14-03-2023
1,16-02-2023
1,16-11-2021
1,24-06-2022
1,24-06-2022
1,07-01-2023
1,11-02-2020
1,16-05-2022
1,08-11-2021
1,12-02-2023
1,16-08-2023
1,04-01-2021
1,14-08-2023
1,24-06-2022
1,27-02-2020
1,24-06-2022
1,03-07-2021
2,21-03-2022
3,01-06-2022
1,01-06-2023
1,22-09-2023
1,22-02-2023
1,11-02-2020
1,24-02-2022
1,24-06-2022
1,11-05-2022
1,17-10-2023
1,26-07-2021
1,15-01-2020
2,21-01-2022
1,10-07-2023
1,19-09-2023
1,23-05-2022
1,14-03-2023
2,24-10-2023
1,01-10-2022
6,18-03-2023
1,04-03-2021
2,01-03-2022
1,13-07-2022
1,27-11-2021
2,17-08-2022
3,04-02-2023
1,19-07-2022
1,27-05-2021
1,08-09-2022
1,25-09-2021
4,02-07-2020
5,07-12-2021
6,02-04-2022
7,17-06-2022
8,07-06-2023
1,06-06-2023
1,13-03-2023
1,08-12-2020
2,02-06-2021
3,04-08-2021
1,24-01-2022
1,22-09-2023
1,21-03-2022
2,05-10-2023
1,01-06-2023
1,19-05-2022
2,07-06-2023
1,18-08-2022
2,02-04-2023
3,16-08-2023
1,09-11-2022
1,01-11-2022
1,26-10-2022
1,24-01-2020
1,20-03-2023
1,01-05-2021
1,13-10-2020
1,16-12-2020
2,21-03-2022
1,31-07-2021
1,06-08-2020
1,22-11-2021
2,05-03-2022
3,18-05-2022
4,23-08-2022
4,23-11-2022
5,25-11-2022
6,05-03-2023
6,13-07-2023
7,30-07-2023
8,20-10-2023
1,24-01-2020
1,11-10-2020
10,09-05-2023
1,06-09-2020
2,13-12-2020
1,03-08-2021
2,29-07-2022
2,21-03-2023
1,25-04-2023
1,14-06-2023
1,30-12-2021
2,11-09-2022
3,12-03-2023
1,27-10-2021
2,15-01-2022
1,13-03-2023
2,24-10-2023
1,23-01-2020
2,21-10-2021
3,18-01-2022
4,25-01-2023
5,12-05-2023
1,13-07-2022
2,10-03-2023
2,27-08-2020
1,04-09-2022
1,12-02-2023
2,27-02-2020
3,20-05-2022
4,07-10-2022
5,05-01-2023
6,09-03-2023
7,16-05-2023
8,24-07-2023
9,03-10-2023
1,05-07-2020
1,04-10-2020
1,05-07-2022
1,01-11-2022
2,13-03-2023
1,05-07-2020
100,28-02-2020
101,28-04-2020
102,29-06-2020
103,01-09-2020
104,04-11-2020
105,06-01-2021
106,10-03-2021
107,12-05-2021
108,12-07-2021
109,10-09-2021
110,15-11-2021
111,22-01-2022
112,25-03-2022
113,15-06-2022
113,15-08-2022
114,16-08-2022
115,16-10-2022
116,26-12-2022
117,07-03-2023
118,14-05-2023
119,15-07-2023
120,13-09-2023
1,18-06-2020
2,21-01-2021
3,13-07-2021
4,16-01-2022
5,10-05-2023
2,11-02-2020
1,24-01-2023
1,04-06-2023
1,13-10-2021
1,18-06-2022
1,16-12-2022
1,14-10-2021
1,16-09-2023
1,18-10-2023
1,24-01-2020
1,08-06-2022
2,30-05-2023
3,31-08-2023
1,18-10-2023
1,12-04-2023
2,15-06-2023
3,16-09-2023
1,16-10-2023
1,06-10-2022
1,17-07-2022
1,21-06-2022
2,09-09-2022
3,23-11-2022
4,23-01-2023
5,16-05-2023
6,18-08-2023
1,01-11-2022
2,14-03-2023
1,14-06-2023
1,04-03-2020
2,01-09-2022
1,09-09-2021
1,19-09-2023
2,28-03-2021
1,25-01-2022
1,10-11-2022
2,22-02-2023
3,01-09-2023
1,08-09-2022
2,22-05-2022
3,14-08-2022
4,26-10-2022
5,26-12-2022
6,01-04-2023
7,23-07-2023
8,16-10-2023
1,18-01-2022
2,28-07-2022
3,09-12-2022
1,17-07-2023
3,16-01-2020
1,02-06-2023
1,25-09-2021
1,31-01-2020
1,11-08-2023
1,21-10-2021
2,21-06-2023
2,11-04-2021
3,08-09-2022
1,22-11-2021
1,11-09-2022
1,24-10-2023
1,20-07-2020
1,23-05-2022
2,05-10-2022
3,08-03-2023
4,25-05-2023
3,29-01-2020
4,05-07-2020
1,03-06-2021
1,19-10-2022
2,04-02-2023
3,25-04-2023
1,10-10-2022
1,10-10-2022
1,12-10-2021
2,21-02-2022
1,08-02-2022
1,16-02-2021
2,10-08-2021
3,06-07-2022
4,09-11-2022
5,14-02-2023
6,04-08-2023
1,14-03-2023
1,21-05-2023
2,24-10-2023
1,30-05-2023
1,22-09-2023
3,16-03-2020
4,07-04-2021
5,17-05-2022
6,17-07-2022
7,25-12-2022
8,17-06-2023
1,08-05-2023
2,07-02-2023
3,29-05-2022
1,25-06-2023
1,26-01-2022
2,17-09-2021
1,15-08-2023
1,28-07-2021
1,29-09-2021
2,09-12-2022
3,10-02-2023
4,30-04-2023
5,25-08-2023
6,24-10-2023
1,10-08-2022
17,16-02-2020
18,02-06-2020
19,09-08-2020
20,13-10-2020
21,16-05-2021
22,26-12-2021
23,24-06-2023
24,03-09-2023
1,20-07-2023
22,13-10-2020
22,30-12-2020
23,24-01-2022
8,26-07-2020
9,19-02-2022
10,01-11-2022
11,02-02-2023
12,24-09-2023
1,22-02-2023
1,14-03-2023
1,07-06-2023
1,29-11-2022
2,18-02-2023
2,04-05-2023
3,10-08-2023
1,07-04-2021
1,13-03-2023
2,30-05-2023
1,22-02-2023
1,24-06-2022
1,14-03-2023
18,13-02-2020
19,17-07-2020
1,02-02-2022
3,11-04-2022
1,13-03-2023
2,22-03-2022
1,21-09-2023
1,18-08-2022
2,16-11-2022
3,18-01-2023
4,06-06-2023
1,01-01-2023
1,22-02-2023
1,21-03-2022
1,01-11-2022
2,14-03-2023
3,24-10-2023
1,15-10-2023
1,13-03-2023
1,15-05-2023
1,08-09-2022
1,19-09-2022
1,21-03-2022
1,09-05-2023
5,17-01-2021
6,12-03-2023
7,17-05-2023
8,19-08-2023
9,20-10-2023
1,01-11-2022
2,13-03-2023
3,22-05-2023
1,22-03-2022
2,14-01-2023
3,08-04-2023
23,20-07-2020
1,13-03-2023
1,22-03-2022
1,29-08-2023
1,28-03-2022
1,26-10-2022
1,16-02-2023
3,05-07-2021
3,27-02-2020
4,02-10-2020
4,17-12-2020
5,14-01-2022
6,12-08-2023
7,11-10-2023
1,22-03-2022
2,01-11-2022
1,21-09-2023
