Jumlah,tanggal
5,04-09-2022
1,14-04-2021
1,18-04-2021
1,19-05-2021
1,11-08-2021
1,28-11-2022
1,25-07-2023
1,02-08-2023
1,26-09-2023
4,25-02-2020
5,16-09-2020
6,16-09-2021
7,09-03-2022
8,20-03-2023
9,26-06-2023
10,20-09-2023
4,08-02-2020
5,04-02-2021
1,25-08-2020
2,31-05-2021
1,08-06-2021
2,30-08-2021
1,01-11-2022
2,13-03-2023
1,19-06-2022
3,20-01-2020
4,01-07-2020
5,18-10-2020
6,08-02-2021
7,31-08-2021
8,04-11-2021
9,23-05-2022
10,22-07-2022
11,10-10-2022
12,31-12-2022
13,06-03-2023
14,05-05-2023
15,06-07-2023
16,16-10-2023
2,23-07-2020
3,21-09-2020
4,24-11-2020
5,23-01-2021
6,27-03-2021
7,10-06-2021
8,12-08-2021
9,13-10-2021
10,21-12-2021
11,22-02-2022
12,23-04-2022
13,05-08-2022
14,21-10-2022
15,04-01-2023
16,03-05-2023
1,06-07-2020
1,06-08-2020
1,18-09-2020
2,26-05-2021
1,26-12-2021
2,01-03-2022
3,29-06-2022
1,25-02-2022
1,12-06-2022
1,01-11-2022
2,18-08-2023
1,26-12-2022
1,13-05-2023
1,27-07-2023
1,14-09-2021
1,29-07-2020
1,23-07-2021
2,21-01-2022
1,16-07-2022
1,03-12-2022
1,12-01-2023
1,12-08-2023
5,25-08-2020
6,01-08-2021
7,11-10-2021
8,27-09-2022
9,14-02-2023
10,27-05-2023
11,21-09-2023
4,25-03-2021
5,06-07-2021
6,15-12-2022
7,26-02-2023
7,14-02-2021
1,09-06-2020
2,22-09-2020
3,10-02-2021
4,28-09-2021
5,09-12-2021
6,15-03-2022
7,15-06-2022
8,27-09-2022
9,17-05-2023
1,28-09-2020
1,19-08-2022
2,06-10-2023
1,16-09-2022
1,26-09-2023
3,02-03-2020
4,04-03-2021
5,06-05-2021
6,04-09-2021
7,13-07-2022
8,23-10-2022
9,04-01-2023
10,04-05-2023
11,25-09-2023
1,04-08-2020
1,21-10-2020
1,06-11-2021
2,22-01-2022
3,23-05-2022
4,05-09-2022
5,25-12-2022
1,30-01-2022
2,28-06-2023
12,05-02-2020
13,17-07-2020
14,18-10-2020
15,09-01-2021
16,08-04-2021
17,10-07-2021
18,25-10-2021
19,22-01-2022
20,01-04-2022
21,08-06-2022
22,23-09-2022
23,28-12-2022
24,15-03-2023
25,14-06-2023
26,27-09-2023
1,25-12-2021
1,28-06-2023
2,13-09-2023
1,29-07-2023
1,03-10-2023
1,15-04-2020
2,26-06-2020
3,14-09-2022
4,22-02-2023
1,11-09-2020
1,06-06-2023
1,02-08-2023
3,18-06-2020
4,07-06-2022
5,18-08-2022
6,16-11-2022
7,15-02-2023
9,02-08-2021
10,29-03-2022
11,16-03-2023
3,30-05-2021
4,18-12-2022
4,25-02-2020
2,25-05-2022
3,15-08-2023
1,12-03-2020
2,13-07-2020
3,04-11-2020
4,21-08-2021
5,30-10-2021
1,26-07-2020
1,24-12-2020
1,09-02-2021
2,30-05-2021
3,26-10-2021
1,17-05-2021
1,26-06-2021
1,24-07-2022
1,28-07-2022
1,14-08-2022
1,28-10-2022
1,01-11-2022
1,01-01-2023
1,03-01-2023
1,04-09-2023
1,20-09-2023
1,25-10-2023
2,15-08-2022
3,19-10-2022
4,19-12-2022
1,06-04-2020
2,10-02-2022
3,14-02-2023
1,13-06-2020
2,16-08-2020
1,13-01-2021
1,05-06-2021
1,27-10-2021
2,28-04-2022
3,31-03-2023
1,07-06-2022
2,25-07-2023
1,25-01-2023
1,07-03-2023
1,11-05-2023
1,15-08-2023
1,06-10-2021
2,20-05-2023
1,17-07-2022
2,10-10-2022
2,04-08-2023
1,06-10-2021
1,04-08-2020
1,17-09-2020
1,09-12-2020
1,20-07-2021
2,03-09-2022
1,22-10-2022
1,19-10-2023
7,02-02-2020
8,10-06-2020
9,27-08-2020
10,26-10-2020
11,25-12-2020
12,23-02-2021
3,22-10-2021
4,26-01-2022
5,29-06-2022
6,12-10-2022
7,31-01-2023
8,08-05-2023
9,16-08-2023
1,08-11-2020
1,10-01-2021
1,28-07-2021
1,01-01-2022
1,28-12-2022
1,21-07-2021
2,21-03-2022
3,22-08-2022
19,04-02-2020
20,06-08-2020
21,03-02-2021
22,13-07-2021
1,10-08-2022
2,02-04-2023
3,14-08-2023
1,24-12-2020
2,11-01-2020
1,24-12-2020
1,14-01-2023
2,01-04-2023
3,06-10-2023
1,11-08-2020
15,18-03-2020
16,02-06-2020
17,30-08-2020
4,15-01-2020
11,15-01-2021
12,13-09-2021
13,25-03-2022
14,19-09-2022
15,29-01-2023
16,12-10-2023
1,28-01-2020
1,12-09-2020
2,26-12-2022
1,25-01-2021
1,23-08-2021
1,08-10-2021
1,28-01-2023
1,14-06-2023
1,21-09-2023
1,20-06-2021
2,12-02-2022
3,18-06-2022
1,06-06-2023
1,13-03-2020
2,15-05-2020
3,23-07-2020
4,09-10-2020
5,23-12-2020
6,09-03-2021
7,10-08-2021
8,28-10-2021
9,11-03-2022
10,17-05-2022
1,09-02-2021
1,21-09-2021
2,25-01-2022
3,09-08-2022
4,10-03-2023
1,11-06-2020
1,04-08-2020
1,26-12-2021
1,17-08-2023
1,11-01-2022
1,30-01-2022
1,14-10-2023
1,24-09-2020
2,27-11-2020
3,01-04-2021
4,05-07-2021
5,06-11-2021
6,03-03-2022
7,05-05-2022
8,16-12-2022
9,15-04-2023
10,02-10-2023
1,15-07-2021
2,24-01-2022
1,03-10-2022
2,10-10-2023
1,11-07-2020
1,21-09-2020
2,05-02-2022
3,27-05-2022
1,24-08-2020
1,09-02-2021
2,03-05-2021
1,29-06-2023
1,22-03-2022
2,27-08-2022
3,01-11-2022
4,13-03-2023
1,31-03-2022
2,31-08-2022
1,11-01-2023
2,12-05-2023
3,23-07-2023
4,02-10-2023
1,07-07-2020
1,29-01-2020
1,27-05-2023
2,01-10-2023
1,13-08-2023
1,01-12-2020
2,21-03-2021
3,29-09-2021
4,22-12-2021
2,26-09-2020
3,02-08-2022
2,10-02-2021
1,11-06-2020
3,02-08-2023
1,14-05-2023
1,06-04-2020
2,04-08-2021
1,03-03-2021
1,13-06-2023
1,11-07-2020
1,28-01-2023
13,07-04-2021
14,02-07-2021
15,11-10-2021
16,14-12-2021
17,08-04-2022
18,15-08-2022
19,06-10-2023
2,17-01-2020
3,13-04-2020
4,31-12-2020
1,02-08-2020
1,01-10-2021
2,29-07-2020
3,19-07-2021
1,02-10-2023
1,04-01-2021
1,31-07-2020
1,31-01-2020
1,02-08-2023
1,29-12-2020
3,06-02-2021
4,01-09-2020
5,12-11-2020
6,12-01-2021
7,18-03-2021
8,28-08-2022
1,15-07-2021
3,31-10-2021
1,11-09-2020
2,27-03-2020
3,26-06-2020
4,26-08-2020
5,01-11-2020
6,01-01-2021
7,07-03-2021
8,19-05-2021
9,30-07-2022
10,11-03-2023
11,13-09-2023
2,06-06-2021
3,29-01-2023
1,27-09-2020
2,14-01-2022
1,08-01-2021
2,28-01-2021
1,09-08-2020
1,18-12-2020
1,30-01-2021
2,21-12-2022
3,04-10-2023
3,06-04-2021
11,05-02-2021
12,01-07-2022
13,20-09-2023
1,05-06-2021
2,14-09-2022
1,05-06-2021
2,04-09-2022
1,05-06-2021
1,14-01-2023
1,28-01-2023
1,19-06-2020
2,09-01-2020
3,15-06-2020
4,11-09-2020
14,08-06-2023
5,30-11-2020
6,05-02-2021
7,02-06-2021
8,16-12-2021
8,18-02-2022
9,14-03-2022
10,17-05-2022
11,22-09-2022
12,29-12-2022
13,01-03-2023
15,07-10-2023
1,11-09-2021
1,30-01-2022
2,22-05-2022
10,15-09-2021
4,07-01-2020
5,10-03-2020
6,20-07-2020
7,27-11-2020
8,26-05-2021
9,16-08-2021
10,15-11-2021
2,29-02-2020
3,06-05-2020
4,05-07-2020
5,07-09-2020
6,10-11-2020
7,10-01-2021
8,11-03-2021
9,21-05-2021
10,05-08-2021
1,09-06-2020
1,09-07-2020
1,09-07-2020
1,08-09-2020
1,08-11-2020
1,01-12-2020
1,14-01-2021
1,28-01-2021
1,04-06-2021
1,14-07-2021
1,21-07-2021
1,23-07-2021
1,28-08-2021
1,20-09-2021
1,17-10-2021
1,31-01-2022
1,04-03-2022
1,16-04-2022
2,29-07-2022
3,05-10-2022
4,08-12-2022
5,18-03-2023
1,22-04-2022
1,28-07-2022
1,21-10-2022
1,29-10-2022
1,01-11-2022
2,10-04-2023
1,15-01-2023
1,28-01-2023
1,22-02-2023
2,15-08-2023
1,14-03-2023
1,22-06-2023
1,22-06-2023
1,21-08-2023
1,26-09-2023
1,07-01-2022
1,25-07-2020
2,23-05-2021
1,31-07-2020
1,26-09-2021
1,14-01-2023
2,17-10-2023
1,13-05-2023
1,12-06-2020
2,18-05-2021
1,28-08-2021
1,29-07-2020
2,04-05-2021
1,11-11-2020
1,25-12-2021
1,25-07-2023
2,27-09-2023
1,24-08-2023
1,19-10-2023
9,20-01-2020
10,20-03-2020
11,02-06-2020
12,14-01-2021
13,29-05-2021
14,03-12-2021
1,15-06-2020
2,14-11-2020
1,28-07-2021
1,11-07-2020
2,07-02-2021
3,04-05-2021
4,10-01-2022
5,26-04-2022
6,06-06-2023
1,08-09-2020
1,14-03-2023
1,07-01-2022
1,03-05-2023
2,11-07-2023
3,23-09-2023
1,28-01-2023
1,12-09-2020
1,13-05-2022
7,04-09-2022
8,25-09-2023
1,27-05-2023
13,13-02-2020
14,13-04-2020
15,15-06-2020
16,17-08-2020
17,19-10-2020
18,18-12-2020
19,16-02-2021
20,22-04-2021
21,22-06-2021
22,23-08-2021
23,28-10-2021
1,29-01-2021
1,23-07-2021
2,01-10-2021
1,19-09-2021
2,11-01-2022
1,02-02-2022
1,12-05-2022
2,26-08-2022
1,12-01-2023
2,13-03-2023
3,25-05-2023
4,05-09-2023
1,30-05-2023
1,02-10-2023
1,08-06-2020
2,29-08-2020
3,25-10-2022
1,20-09-2021
2,14-02-2022
1,25-12-2021
1,29-01-2022
1,31-03-2022
2,27-08-2022
3,04-02-2023
1,03-12-2022
1,18-06-2023
1,13-01-2021
2,05-04-2022
3,07-08-2022
1,06-03-2022
1,11-09-2021
2,19-01-2023
1,19-01-2020
1,14-05-2022
1,25-01-2023
2,28-05-2023
3,13-10-2023
1,21-11-2022
7,03-02-2020
8,23-01-2023
2,23-07-2023
1,25-01-2023
3,31-08-2020
1,18-06-2023
2,19-08-2023
1,27-10-2021
2,21-01-2022
3,23-03-2022
4,24-05-2022
5,24-07-2022
1,24-02-2020
1,10-09-2020
1,05-05-2021
1,10-08-2022
1,03-10-2021
1,25-07-2020
2,17-12-2020
1,16-07-2022
4,24-01-2020
5,18-07-2020
6,20-09-2020
7,24-11-2020
8,24-01-2021
9,27-03-2021
10,26-05-2021
11,07-08-2021
12,20-10-2021
13,26-12-2021
14,12-05-2022
1,13-07-2020
1,30-01-2021
1,18-04-2021
1,11-01-2022
2,22-03-2022
3,22-05-2022
4,31-07-2022
26,05-10-2022
27,13-12-2022
28,14-02-2023
29,15-04-2023
30,14-06-2023
31,19-08-2023
32,24-10-2023
1,03-12-2022
1,26-01-2023
1,06-06-2023
1,02-07-2023
2,05-01-2020
3,20-08-2020
4,17-09-2021
5,15-01-2022
6,28-03-2022
7,31-05-2022
8,07-09-2022
9,17-01-2023
1,06-04-2020
1,04-05-2021
5,11-03-2020
6,31-08-2020
7,13-05-2022
8,08-08-2022
9,17-05-2023
3,15-05-2020
3,30-01-2021
4,30-07-2023
1,23-10-2021
2,25-08-2022
2,17-08-2020
1,11-04-2021
1,30-06-2023
1,09-12-2020
14,06-09-2020
15,31-10-2021
16,26-01-2022
17,31-03-2022
18,27-10-2022
1,12-09-2023
1,28-07-2021
1,31-01-2022
1,12-10-2023
1,05-04-2021
1,17-08-2021
2,18-01-2023
1,23-08-2021
2,04-08-2023
1,22-03-2022
2,01-11-2022
1,25-01-2023
1,17-09-2023
4,25-05-2022
5,08-03-2023
6,09-05-2023
7,15-08-2023
1,01-09-2020
15,15-04-2020
16,01-07-2020
17,02-09-2020
18,06-05-2023
19,09-10-2023
1,14-10-2021
1,04-06-2023
1,13-03-2023
2,24-10-2023
1,01-09-2023
2,11-01-2020
1,30-12-2020
1,10-01-2021
1,04-02-2021
1,06-04-2021
2,18-06-2021
3,20-08-2021
4,21-10-2021
5,30-12-2021
6,02-03-2022
7,20-05-2022
8,01-08-2022
9,23-12-2022
10,08-06-2023
11,25-09-2023
1,19-02-2022
1,15-11-2022
2,25-02-2023
3,25-05-2023
4,26-08-2023
1,10-01-2021
1,03-06-2021
1,16-06-2020
2,09-09-2020
3,16-01-2021
4,21-07-2021
5,11-10-2021
6,10-02-2022
7,22-06-2022
8,07-09-2022
9,20-05-2023
1,15-08-2020
2,25-11-2020
3,16-02-2021
4,01-05-2021
2,07-08-2021
6,15-11-2021
7,03-02-2022
8,14-04-2022
9,06-07-2022
10,09-11-2022
11,14-02-2023
12,04-08-2023
1,28-06-2020
1,25-04-2022
1,30-03-2020
1,21-04-2021
3,14-01-2022
4,08-02-2023
2,21-02-2020
3,11-05-2020
4,27-07-2020
5,28-09-2020
6,30-11-2020
7,01-02-2021
8,05-05-2021
9,25-08-2021
10,26-10-2021
11,06-01-2022
12,09-03-2022
13,11-05-2022
14,24-09-2022
15,23-12-2022
16,06-03-2023
17,08-07-2023
18,18-10-2023
1,28-03-2020
1,15-10-2020
1,28-02-2021
1,20-03-2021
2,02-06-2021
3,13-08-2021
4,26-02-2022
5,13-06-2022
6,12-08-2022
7,12-10-2022
8,12-12-2022
9,14-03-2023
10,14-05-2023
11,07-08-2023
12,09-10-2023
1,05-05-2021
1,08-12-2021
1,19-01-2022
2,20-03-2022
1,24-02-2022
1,03-03-2022
1,16-03-2022
1,13-01-2023
1,19-02-2023
1,19-07-2023
1,19-07-2023
1,15-08-2023
2,17-10-2023
1,02-10-2023
1,06-12-2020
1,04-08-2021
3,20-01-2023
1,29-07-2021
1,29-12-2021
1,29-01-2021
1,10-04-2021
1,21-09-2022
8,17-05-2023
9,18-08-2023
1,29-08-2021
4,01-07-2022
2,30-10-2021
1,10-08-2020
1,09-12-2020
1,26-01-2022
2,13-09-2022
1,15-10-2020
1,21-01-2021
2,11-10-2021
3,19-02-2022
1,21-01-2021
2,21-07-2023
1,24-07-2021
2,02-11-2021
1,05-03-2022
2,05-05-2022
3,09-07-2022
4,11-09-2022
5,10-12-2022
6,18-02-2023
7,27-04-2023
8,26-06-2023
9,25-08-2023
1,25-01-2023
1,22-02-2023
1,24-08-2023
1,21-09-2023
1,19-10-2023
30,01-02-2020
31,11-04-2020
32,17-06-2020
33,28-08-2020
34,24-01-2021
35,07-04-2021
36,22-06-2021
37,27-08-2021
38,29-10-2021
39,04-01-2022
40,22-03-2022
41,31-05-2022
42,17-08-2022
43,23-12-2022
44,24-02-2023
45,12-05-2023
46,19-07-2023
47,26-10-2023
7,30-01-2020
8,08-06-2020
9,12-03-2021
10,07-07-2021
11,31-03-2022
12,20-06-2022
1,14-11-2020
1,11-04-2021
2,25-10-2021
1,25-12-2021
1,12-05-2022
1,23-01-2023
2,07-06-2023
1,21-09-2023
1,18-12-2020
2,15-06-2021
3,26-04-2022
17,02-02-2020
18,16-08-2020
19,18-10-2020
21,10-01-2021
22,21-03-2021
23,13-06-2021
24,17-10-2021
25,09-01-2022
26,05-04-2022
27,05-06-2022
28,07-08-2022
29,16-10-2022
30,18-12-2022
31,07-04-2023
32,25-06-2023
33,27-08-2023
1,13-01-2021
2,15-03-2021
1,18-09-2020
2,23-12-2020
3,01-03-2021
4,22-06-2021
5,24-08-2021
6,27-12-2021
7,01-04-2022
8,10-06-2022
9,22-09-2022
10,22-03-2023
1,14-03-2022
1,09-06-2020
2,09-12-2021
1,11-09-2020
3,09-07-2021
1,04-06-2021
2,16-01-2022
3,19-03-2022
4,20-05-2022
4,19-07-2022
5,23-07-2022
6,23-09-2022
7,23-11-2022
8,21-02-2023
8,11-05-2023
9,12-06-2023
1,18-08-2023
11,26-10-2023
1,09-07-2021
1,11-01-2022
2,27-03-2022
3,20-05-2023
1,28-01-2023
1,29-06-2023
1,09-08-2023
1,30-07-2023
1,09-01-2023
2,13-03-2023
3,30-05-2023
4,24-10-2023
1,08-09-2021
1,29-09-2020
1,03-10-2021
2,14-12-2021
3,31-07-2022
2,24-05-2023
1,07-11-2020
3,08-06-2020
4,20-10-2020
5,31-10-2021
6,03-02-2022
7,19-05-2022
8,05-01-2020
9,06-04-2022
1,09-02-2021
1,18-04-2021
1,25-12-2021
1,07-01-2022
2,12-07-2022
1,11-01-2022
1,11-02-2022
1,24-02-2022
1,25-02-2022
1,16-07-2022
2,26-10-2022
1,17-10-2022
1,21-07-2023
1,21-09-2023
1,28-07-2022
16,14-07-2022
17,07-03-2023
18,09-05-2023
19,08-07-2023
20,24-10-2023
2,29-07-2020
3,02-12-2020
4,26-02-2021
11,28-01-2020
12,28-06-2020
13,27-09-2020
14,18-04-2021
15,20-10-2021
16,28-07-2022
17,16-12-2022
18,28-02-2023
19,04-06-2023
3,06-11-2020
4,29-01-2021
5,04-08-2021
6,23-10-2021
15,06-03-2021
16,05-06-2021
17,16-07-2022
18,19-11-2022
19,26-03-2023
20,07-10-2023
5,10-03-2020
20,21-01-2020
21,23-03-2020
22,22-05-2020
23,09-11-2020
24,28-04-2021
25,22-08-2021
26,25-10-2021
3,08-02-2021
4,17-09-2021
5,03-12-2021
6,17-06-2022
7,09-09-2022
2,07-04-2020
2,19-01-2022
3,10-10-2022
2,03-12-2022
7,04-02-2023
6,28-01-2020
7,22-10-2022
8,19-10-2023
2,16-02-2021
3,30-06-2021
4,25-01-2022
5,09-08-2022
15,26-04-2020
16,22-08-2020
17,06-03-2021
18,05-06-2021
19,14-08-2021
20,23-10-2021
21,14-04-2022
22,17-09-2022
23,24-03-2023
2,05-08-2020
3,16-02-2021
4,30-06-2021
5,21-09-2021
6,09-08-2022
7,25-10-2022
8,10-03-2023
3,21-01-2023
20,10-01-2020
21,02-08-2020
22,07-03-2021
23,15-08-2021
24,29-10-2021
25,12-12-2021
26,13-03-2022
27,12-06-2022
28,11-09-2022
29,18-12-2022
30,19-04-2023
31,22-07-2023
7,07-06-2020
7,02-05-2020
8,02-10-2022
9,09-01-2023
2,14-04-2020
3,08-02-2023
2,12-09-2020
3,11-11-2020
4,11-01-2021
5,26-04-2021
6,12-07-2021
7,10-09-2021
8,16-11-2021
9,03-02-2022
10,07-04-2022
11,22-06-2022
12,26-08-2022
13,25-12-2022
14,16-03-2023
15,25-06-2023
24,13-09-2020
25,04-12-2020
26,25-04-2021
27,27-06-2021
28,07-09-2021
29,19-01-2022
30,21-05-2022
31,05-08-2022
32,16-12-2022
33,19-03-2023
34,28-05-2023
35,16-09-2023
4,23-07-2021
5,01-11-2021
6,11-01-2022
7,08-08-2022
8,24-08-2023
9,26-10-2023
23,21-05-2020
24,06-03-2021
25,05-06-2021
26,17-01-2022
27,17-04-2022
28,16-07-2022
29,17-09-2022
30,19-11-2022
2,01-11-2022
3,13-03-2023
4,24-10-2023
2,03-12-2022
2,26-09-2021
4,10-09-2021
5,16-11-2021
12,08-02-2022
7,31-05-2022
8,31-08-2022
9,09-11-2022
10,24-01-2023
11,22-05-2023
12,04-08-2023
13,12-10-2023
2,27-06-2021
3,15-07-2023
11,12-06-2022
5,29-01-2023
6,18-04-2023
23,21-03-2020
24,08-06-2020
25,07-08-2020
26,02-11-2020
27,22-01-2021
28,14-04-2021
29,16-06-2021
30,03-09-2021
31,15-04-2022
32,04-07-2022
33,12-09-2022
34,12-11-2022
35,31-01-2023
36,30-04-2023
37,29-06-2023
38,16-09-2023
3,25-11-2020
5,25-02-2020
6,16-09-2020
7,25-05-2021
8,19-08-2022
14,04-11-2020
3,27-10-2021
4,08-09-2022
11,12-02-2020
12,01-09-2020
2,27-02-2020
3,17-09-2021
4,14-12-2021
5,20-05-2022
6,28-07-2022
7,07-10-2022
8,05-01-2023
9,09-03-2023
10,16-05-2023
11,24-07-2023
12,03-10-2023
5,10-01-2020
6,02-06-2020
7,07-09-2020
8,10-11-2020
9,12-01-2021
10,13-03-2021
11,23-05-2021
12,15-08-2021
13,21-10-2021
14,13-02-2022
15,21-04-2022
16,21-06-2022
17,21-08-2022
18,29-01-2023
18,31-03-2023
19,02-04-2023
20,16-06-2023
21,16-08-2023
22,18-10-2023
2,15-01-2020
3,04-08-2020
4,20-08-2021
5,02-11-2021
6,04-01-2022
7,12-04-2022
8,02-11-2022
9,28-02-2023
10,17-05-2023
11,13-09-2023
14,26-01-2020
15,08-08-2020
16,16-12-2020
17,20-03-2021
18,24-08-2021
19,02-01-2022
20,06-03-2022
21,26-09-2022
22,29-11-2022
23,03-01-2023
24,12-02-2023
25,15-04-2023
26,08-05-2023
27,10-06-2023
28,24-06-2023
29,18-08-2023
4,12-02-2020
5,14-01-2021
6,01-09-2022
7,09-11-2022
8,18-09-2023
8,14-08-2021
9,23-10-2021
10,30-04-2022
11,17-09-2022
12,19-11-2022
14,24-07-2021
14,28-01-2023
3,28-01-2020
4,31-12-2021
5,19-10-2023
14,01-02-2020
15,08-04-2021
16,18-12-2021
17,19-03-2022
5,13-01-2020
6,03-08-2021
7,29-07-2022
8,14-02-2023
9,13-07-2023
7,04-03-2020
8,25-06-2020
9,05-09-2020
10,09-08-2022
5,29-09-2020
2,13-08-2021
8,17-05-2022
2,04-11-2020
3,01-11-2022
2,23-01-2020
3,05-08-2020
4,13-10-2021
5,25-01-2022
6,09-08-2022
7,25-10-2022
2,18-02-2023
3,26-07-2023
2,17-03-2022
3,21-12-2022
4,21-07-2023
5,14-02-2022
6,17-06-2023
5,22-11-2021
6,21-11-2022
2,28-10-2021
15,03-01-2020
16,19-02-2020
17,30-04-2020
18,06-06-2020
19,13-08-2020
20,15-09-2020
21,29-10-2020
22,09-12-2020
23,07-09-2021
24,01-02-2022
25,04-08-2022
26,28-12-2022
27,06-02-2023
28,31-03-2023
29,17-04-2023
30,11-06-2023
31,02-08-2023
32,24-08-2023
33,08-09-2023
34,08-10-2023
5,09-11-2022
6,04-08-2023
4,05-08-2020
5,16-02-2021
6,30-06-2021
7,13-10-2021
8,25-01-2022
9,09-08-2022
10,25-10-2022
12,26-03-2021
13,30-05-2021
14,21-08-2021
15,27-11-2021
16,26-01-2022
17,08-04-2022
18,07-06-2022
19,06-09-2022
20,21-12-2022
21,24-04-2023
22,26-06-2023
3,23-04-2021
2,19-09-2020
4,22-08-2023
2,25-01-2023
3,03-07-2023
4,04-04-2021
5,27-06-2021
6,13-02-2022
7,13-12-2022
8,01-03-2023
9,02-05-2023
2,30-01-2023
3,08-05-2023
4,14-08-2023
22,05-02-2020
23,16-04-2020
24,18-06-2020
25,16-09-2020
26,09-02-2021
27,05-05-2021
28,27-07-2021
29,01-10-2021
30,09-12-2021
31,07-02-2022
32,01-06-2022
33,13-08-2022
34,13-10-2022
35,28-12-2022
36,26-02-2023
37,27-04-2023
38,29-07-2023
39,28-09-2023
18,05-02-2020
19,11-02-2021
20,01-09-2021
21,07-12-2021
22,02-03-2022
23,08-06-2022
24,14-09-2022
25,16-12-2022
26,16-03-2023
27,16-06-2023
28,13-09-2023
9,10-03-2020
10,15-08-2020
11,15-10-2020
12,17-12-2020
13,13-03-2021
14,30-05-2021
15,15-09-2021
16,18-11-2021
17,06-02-2022
18,14-04-2022
19,02-07-2022
20,04-09-2022
21,30-11-2022
22,04-02-2023
23,06-05-2023
24,02-08-2023
3,20-10-2021
4,21-12-2021
5,16-03-2022
6,18-05-2022
7,20-07-2022
8,20-09-2022
9,21-11-2022
10,24-01-2023
11,22-05-2023
12,25-09-2023
2,16-06-2022
4,19-08-2021
5,10-11-2022
3,28-10-2021
2,01-11-2022
3,13-03-2023
4,18-09-2023
3,28-08-2023
3,05-03-2020
4,17-10-2020
5,12-01-2021
6,15-03-2021
7,01-07-2021
8,16-01-2022
9,18-03-2022
10,26-07-2022
11,04-01-2023
12,23-08-2023
8,22-02-2020
9,30-04-2020
10,06-07-2020
11,11-09-2021
12,10-08-2023
2,06-09-2021
5,23-05-2022
6,05-08-2022
15,14-03-2020
16,05-04-2020
17,12-06-2020
18,04-09-2020
19,29-11-2020
20,15-02-2021
21,23-05-2021
22,22-11-2021
23,05-11-2022
24,22-01-2023
25,19-07-2023
5,08-01-2021
6,06-07-2021
7,07-09-2021
8,11-11-2021
9,22-01-2022
9,09-05-2022
10,17-08-2022
11,08-05-2023
2,15-09-2021
3,11-10-2022
4,14-01-2023
4,04-04-2020
13,30-04-2020
13,29-06-2020
14,01-07-2020
15,06-09-2020
16,29-03-2021
17,22-07-2021
18,27-10-2021
19,30-12-2021
20,25-03-2022
21,01-07-2022
22,08-09-2022
23,07-12-2022
24,20-02-2023
25,16-06-2023
26,23-08-2023
4,13-02-2023
6,28-01-2021
4,02-11-2020
5,09-01-2021
6,25-03-2021
7,25-05-2021
8,07-09-2022
9,23-02-2023
10,05-05-2023
2,06-11-2020
11,18-02-2020
12,02-06-2020
13,08-09-2020
14,09-11-2020
15,22-01-2021
16,15-07-2021
17,28-02-2022
18,04-05-2022
19,07-07-2022
20,12-09-2022
21,31-12-2022
22,18-01-2023
23,28-02-2023
24,10-04-2023
25,26-04-2023
2,01-11-2020
3,26-12-2021
7,29-01-2020
8,04-04-2020
9,26-06-2020
10,20-05-2021
11,08-06-2020
12,10-09-2020
13,20-02-2021
14,24-04-2021
15,24-07-2021
16,29-09-2021
17,09-12-2021
8,01-05-2023
7,24-10-2022
6,01-12-2020
5,02-01-2020
6,15-07-2020
7,21-09-2020
8,22-05-2021
9,05-08-2021
10,18-10-2021
11,29-12-2021
12,07-03-2022
13,20-01-2023
14,10-05-2023
15,02-09-2023
13,08-02-2020
14,15-02-2020
15,29-05-2020
16,15-07-2021
17,08-03-2022
18,17-10-2022
17,28-01-2020
18,30-03-2020
19,31-05-2020
20,04-08-2020
20,05-10-2020
21,06-10-2020
22,07-12-2020
23,09-02-2021
24,21-05-2021
25,26-07-2021
26,26-09-2021
27,26-11-2021
28,26-01-2022
29,29-03-2022
30,28-05-2022
31,27-07-2022
32,22-10-2022
33,10-02-2023
34,06-05-2023
35,13-07-2023
2,28-07-2020
3,06-06-2021
3,09-08-2022
4,07-06-2023
6,29-02-2020
7,09-05-2020
8,04-10-2020
9,25-07-2021
10,28-10-2021
11,12-04-2022
12,28-03-2023
13,18-09-2023
5,21-02-2020
6,22-10-2021
7,26-01-2022
8,29-06-2022
9,12-10-2022
10,31-01-2023
11,15-05-2023
12,16-08-2023
3,15-01-2020
4,01-05-2020
5,01-07-2020
6,06-10-2020
7,10-12-2020
8,27-05-2021
9,27-07-2021
10,09-10-2021
11,12-12-2021
12,15-02-2022
13,16-04-2022
14,20-06-2022
15,25-08-2022
16,27-10-2022
17,01-01-2023
18,19-04-2023
19,21-06-2023
20,21-08-2023
21,22-10-2023
3,24-12-2021
15,01-01-2020
16,03-03-2020
17,02-05-2020
18,01-07-2020
19,01-09-2020
20,14-11-2020
21,13-01-2021
22,15-03-2021
23,15-05-2021
24,15-07-2021
25,15-09-2021
26,19-11-2021
27,01-02-2022
28,19-04-2022
29,05-09-2022
30,26-12-2022
31,27-02-2023
32,28-04-2023
33,24-07-2023
3,18-01-2020
4,06-06-2021
5,11-04-2021
6,22-02-2022
3,12-12-2020
4,27-09-2021
2,22-07-2020
3,06-05-2020
4,26-04-2021
5,22-11-2021
2,27-10-2021
3,27-10-2022
4,30-05-2023
5,04-08-2023
2,26-12-2021
3,11-09-2022
2,30-08-2021
2,15-10-2021
3,29-12-2022
3,02-01-2020
6,16-01-2020
7,03-10-2021
2,16-04-2021
3,09-12-2022
10,13-01-2020
11,27-06-2020
12,27-08-2020
13,04-01-2021
